postcode,latitude,longitude,district,ward,constituency
N2,51.586178,-0.170121,Barnet,Garden Suburb,Finchley and Golders Green
W1J,51.509539,-0.1361,Westminster,West End,Cities of London and Westminster
SW1W,51.498405,-0.146841,Westminster,St James's,Cities of London and Westminster
NW8,51.535626,-0.181925,Westminster,Abbey Road,Cities of London and Westminster
SW1X,51.497344,-0.159433,Kensington and Chelsea,Brompton & Hans Town,Kensington and Bayswater
NW1,51.536741,-0.139458,Camden,Regent's Park,Holborn and St Pancras
W1B,51.52278,-0.147134,Westminster,Marylebone,Cities of London and Westminster
SW7,51.499582,-0.171445,Westminster,Knightsbridge & Belgravia,Cities of London and Westminster
TW1,51.450115,-0.331333,Richmond upon Thames,Twickenham Riverside,Twickenham
W1K,51.504848,-0.151104,Westminster,West End,Cities of London and Westminster
SW10,51.477517,-0.17973,Hammersmith and Fulham,Sands End,Chelsea and Fulham
N6,51.574342,-0.149324,Haringey,Highgate,Hampstead and Highgate
W11,51.520273,-0.200411,Westminster,Westbourne,Queen's Park and Maida Vale
W1S,51.514336,-0.146036,Westminster,West End,Cities of London and Westminster
SW1E,51.498126,-0.140571,Westminster,St James's,Cities of London and Westminster
E15,51.545813,0.004158,Newham,Maryland,Stratford and Bow
W8,51.504691,-0.192985,Kensington and Chelsea,Campden,Kensington and Bayswater
SW1A,51.499842,-0.124638,Westminster,St James's,Cities of London and Westminster
NW7,51.615455,-0.241079,Barnet,Mill Hill,Hendon
NW3,51.559005,-0.177761,Camden,Hampstead Town,Hampstead and Highgate
W1H,51.519651,-0.162598,Westminster,Marylebone,Cities of London and Westminster
SW3,51.496377,-0.164846,Kensington and Chelsea,Brompton & Hans Town,Kensington and Bayswater
E14,51.509979,-0.014983,Tower Hamlets,Poplar,Poplar and Limehouse
W14,51.499437,-0.218651,Hammersmith and Fulham,Brook Green,Hammersmith and Chiswick
W2,51.520365,-0.178411,Westminster,Little Venice,Queen's Park and Maida Vale
W9,51.522737,-0.18117,Westminster,Little Venice,Queen's Park and Maida Vale
EC1V,51.523385,-0.100086,Islington,Bunhill,Islington South and Finsbury
NW10,51.559122,-0.249255,Brent,Dollis Hill,Brent East
E20,51.547898,-0.007361,Newham,Stratford Olympic Park,Stratford and Bow
SW5,51.49007,-0.190106,Kensington and Chelsea,Redcliffe,Chelsea and Fulham
W1G,51.515959,-0.143476,Westminster,West End,Cities of London and Westminster
N10,51.600531,-0.150685,Barnet,Friern Barnet,Hornsey and Friern Barnet
SW19,51.421629,-0.186194,Merton,Wandle,Wimbledon
WC2N,51.511498,-0.12756,Westminster,St James's,Cities of London and Westminster
NW11,51.584602,-0.200194,Barnet,Golders Green,Finchley and Golders Green
W1U,51.515134,-0.152158,Westminster,West End,Cities of London and Westminster
SW16,51.438393,-0.130738,Lambeth,Streatham St Leonard's,Streatham and Croydon North
SW1V,51.495401,-0.141705,Westminster,Vincent Square,Cities of London and Westminster
W3,51.519839,-0.268391,Ealing,North Acton,Ealing Central and Acton
SW6,51.480062,-0.19658,Hammersmith and Fulham,Walham Green,Chelsea and Fulham
SE1,51.498709,-0.101747,Southwark,St George's,Bermondsey and Old Southwark
WC2R,51.510589,-0.120233,Westminster,St James's,Cities of London and Westminster
NW6,51.552428,-0.193256,Camden,Fortune Green,Hampstead and Highgate
SE13,51.4596,-0.005943,Lewisham,Lewisham Central,Lewisham North
W1W,51.522679,-0.144183,Westminster,West End,Cities of London and Westminster
SW18,51.45848,-0.185568,Wandsworth,Wandsworth Town,Putney
SW15,51.464124,-0.222906,Wandsworth,Thamesfield,Putney
SW1P,51.49643,-0.137413,Westminster,Vincent Square,Cities of London and Westminster
SW8,51.4784,-0.117726,Lambeth,Oval,Vauxhall and Camberwell Green
SW17,51.433772,-0.182936,Wandsworth,Wandsworth Common,Tooting
EC2A,51.520745,-0.087569,Islington,Bunhill,Islington South and Finsbury
SE17,51.489349,-0.091332,Southwark,North Walworth,Peckham
WC1X,51.523789,-0.111717,Islington,Clerkenwell,Islington South and Finsbury
SE21,51.434204,-0.0852,Southwark,Dulwich Wood,Dulwich and West Norwood
N3,51.60648,-0.192541,Barnet,West Finchley,Finchley and Golders Green
E10,51.572993,-0.008746,Waltham Forest,Forest,Leyton and Wanstead
