URN,EstablishmentName,EstablishmentTypeGroup (name),PhaseOfEducation (name),SpecialClasses (name),Postcode,latitude,longitude,FundingType,EducationPhase,catchment_km,Overall effectiveness
100000,The Aldgate School,Local authority maintained schools,Primary,No Special Classes,EC3A 5DE,51.513664,-0.07746,State,Primary,0.8,1
100001,City of London School for Girls,Independent schools,Not applicable,No Special Classes,EC2Y 8BB,51.519131,-0.094483,Private,Other,1.0,
100002,St Paul's Cathedral School,Independent schools,Not applicable,No Special Classes,EC4M 9AD,51.513835,-0.096794,Private,Other,1.0,
100003,City of London School,Independent schools,Not applicable,No Special Classes,EC4V 3AL,51.511026,-0.099361,Private,Other,1.0,
100004,Sherborne Nursery School,Local authority maintained schools,Nursery,Not applicable,NW5 4LP,51.548164,-0.147559,State,Other,1.0,
100005,Thomas Coram Centre,Local authority maintained schools,Nursery,Not applicable,WC1N 2NY,51.525481,-0.120758,State,Other,1.0,1
100006,Heath School,Local authority maintained schools,Not applicable,Not applicable,NW3 2NY,51.554181,-0.160759,State,Other,1.0,2
100007,Camden Primary Pupil Referral Unit,Local authority maintained schools,Not applicable,Not applicable,NW1 3EX,51.527712,-0.14059,State,Other,1.0,2
100008,Argyle Primary School,Local authority maintained schools,Primary,No Special Classes,WC1H 9EG,51.528752,-0.124012,State,Primary,0.8,2
100009,West Hampstead Primary School,Local authority maintained schools,Primary,No Special Classes,NW6 1QL,51.550691,-0.200162,State,Primary,0.8,2
100010,Brecknock Primary School,Local authority maintained schools,Primary,No Special Classes,NW1 9AL,51.547483,-0.127871,State,Primary,0.8,2
100011,Brookfield Primary School,Local authority maintained schools,Primary,No Special Classes,N19 5DH,51.563332,-0.145111,State,Primary,0.8,2
100012,Carlton Primary School,Local authority maintained schools,Primary,No Special Classes,NW5 4AX,51.551601,-0.149987,State,Primary,0.8,
100013,Edith Neville Primary School,Local authority maintained schools,Primary,No Special Classes,NW1 1HQ,51.532374,-0.130639,State,Primary,0.8,1
100014,Fleet Primary School,Local authority maintained schools,Primary,No Special Classes,NW3 2QT,51.553445,-0.160847,State,Primary,0.8,2
100015,Hawley Primary School,Local authority maintained schools,Primary,No Special Classes,NW1 8RP,51.542718,-0.143829,State,Primary,0.8,2
100016,Kingsgate Junior School,Local authority maintained schools,Primary,No Special Classes,NW6 4LB,51.543471,-0.196741,State,Primary,0.8,
